,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Atuona,PF,-9.8,-139.0333,80.85,73,58,17.2,broken clouds
1,Pakxan,LA,18.3778,103.6601,83.52,59,84,3.18,broken clouds
2,Sao Filipe,CV,14.8961,-24.4956,74.86,63,3,9.89,clear sky
3,Huichapan,MX,20.3833,-99.65,80.6,12,1,8.05,clear sky
4,Khatanga,RU,71.9667,102.5,19.74,94,100,15.17,light snow
5,Albany,US,42.6001,-73.9662,64.99,58,100,2.82,overcast clouds
6,Busselton,AU,-33.65,115.3333,60.01,88,100,8.01,light rain
7,Tatarskaya Kargala,RU,51.9495,55.1731,37.4,87,0,8.95,clear sky
8,Rikitea,PF,-23.1203,-134.9692,78.67,74,6,11.25,clear sky
9,Balkhash,KZ,46.844,74.9804,37.4,56,0,20.13,clear sky
10,Waipawa,NZ,-41.4122,175.5153,69.8,73,75,21.85,broken clouds
11,Hithadhoo,MV,-0.6,73.0833,83.21,68,97,11.07,overcast clouds
12,Mashhad,IR,36.297,59.6062,53.6,54,0,1.79,clear sky
13,Iqaluit,CA,63.7506,-68.5145,23.0,86,90,20.71,light snow
14,Bambous Virieux,MU,-20.3428,57.7575,79.0,83,40,5.75,scattered clouds
15,Marawi,PH,7.9986,124.2928,80.01,85,90,4.0,overcast clouds
16,Kapaa,US,22.0752,-159.319,75.2,60,90,12.66,overcast clouds
17,Moratuwa,LK,6.773,79.8816,77.0,88,40,2.3,scattered clouds
18,Bunia,CD,1.5667,30.25,63.82,98,100,5.97,light rain
19,Williston,US,48.147,-103.618,64.4,17,75,12.66,broken clouds
20,Tuatapere,NZ,-46.1333,167.6833,57.99,88,100,8.99,overcast clouds
21,Namibe,AO,-15.1961,12.1522,79.41,69,42,6.87,scattered clouds
22,Castro,BR,-24.7911,-50.0119,59.56,69,6,2.42,clear sky
23,Xining,CN,36.6167,101.7667,41.22,68,79,2.82,broken clouds
24,Yar-Sale,RU,66.8333,70.8333,27.68,90,24,14.74,few clouds
25,Tasiilaq,GL,65.6145,-37.6368,32.0,51,30,3.44,scattered clouds
26,Butaritari,KI,3.0707,172.7902,82.2,75,100,8.97,overcast clouds
27,Punta Arenas,CL,-53.15,-70.9167,46.4,81,40,5.75,scattered clouds
28,Ushuaia,AR,-54.8,-68.3,48.2,61,40,6.91,scattered clouds
29,Klaeng,TH,12.7797,101.6483,90.0,100,98,6.2,overcast clouds
30,Taua,BR,-5.9667,-40.3,76.32,66,100,11.95,overcast clouds
31,Yellowknife,CA,62.456,-114.3525,10.4,48,20,11.5,few clouds
32,Tiksi,RU,71.6872,128.8694,-1.23,83,18,7.78,few clouds
33,Chuy,UY,-33.6971,-53.4616,69.08,97,100,9.19,heavy intensity rain
34,Bluff,NZ,-46.6,168.3333,57.99,88,100,8.99,moderate rain
35,Sitka,US,57.0531,-135.33,33.8,75,90,4.61,overcast clouds
